title,rating,tokens
Out of Line,3.93,Out of Line
Inquest,3.59,Inquest
Matter,4.08,Matter
The Technologists,3.51,The Technologists
"Runaways, Vol. 1: Pride and Joy",3.97,"Runaways, Vol. 1: Pride and Joy"
The Road to Los Angeles,3.82,The Road to Los Angeles
Milkweed,4.01,Milkweed
Where's Waldo? The Fantastic Journey,4.23,Where's Waldo? The Fantastic Journey
Glory,3.7,Glory
The Interrupted Tale,4.2,The Interrupted Tale
Percy Gloom,3.76,Percy Gloom
To Have or to Be? The Nature of the Psyche,4.19,To Have or to Be? The Nature of the Psyche
Highland Wolf Pact,3.62,Highland Wolf Pact
Eye for Eye,4.3,Eye for Eye
Dialogue with Death: A Journey Through Consciousness,4.23,Dialogue with Death: A Journey Through Consciousness
T2: Rising Storm,3.93,T2: Rising Storm
Baltimore Chronicles Volume 1,4.25,Baltimore Chronicles Volume 1
Chance Fortune and the Outlaws,3.95,Chance Fortune and the Outlaws
Smoke and Mirrors: Short Fiction and Illusions,4.02,Smoke and Mirrors: Short Fiction and Illusions
The Dark One,3.87,The Dark One
"The Small House at Allington, Volume 2",4.18,"The Small House at Allington, Volume 2"
Strangers in Death,4.31,Strangers in Death
The Cat Who Turned On and Off,3.96,The Cat Who Turned On and Off
"Lean Hospitals: Improving Quality, Patient Safety, and Employee Satisfaction",4.01,"Lean Hospitals: Improving Quality, Patient Safety, and Employee Satisfaction"
Fledge,4.08,Fledge
Criminology For Dummies,3.82,Criminology For Dummies
The Last Echo,4.14,The Last Echo
Mary Poppins in the Park,4.12,Mary Poppins in the Park
One Week Girlfriend,3.93,One Week Girlfriend
Blessings,3.6,Blessings
Four Truths and a Lie,4.12,Four Truths and a Lie
Tailchaser's Song,3.97,Tailchaser's Song
The Tiniest Elf,4.47,The Tiniest Elf
Yuri Is My Job! 1,3.72,Yuri Is My Job! 1
Peter Pan in Kensington Gardens / Peter and Wendy,4.03,Peter Pan in Kensington Gardens / Peter and Wendy
First Blood: A Kaden Bonus Book,4.61,First Blood: A Kaden Bonus Book
Fear the Fantastic,3.89,Fear the Fantastic
Facing Demons,4.0,Facing Demons
Doctor Glas,3.83,Doctor Glas
Against the Gods: The Remarkable Story of Risk,3.98,Against the Gods: The Remarkable Story of Risk
Colters' Lady,4.01,Colters' Lady
Crystal Storm,4.24,Crystal Storm
Spork,3.92,Spork
Where Things Come Back,3.8,Where Things Come Back
Tale of Dan de Lion,5.0,Tale of Dan de Lion
Prague,3.06,Prague
Twenties Girl,3.83,Twenties Girl
Go For Launch!: An Illustrated History of Cape Canaveral,3.71,Go For Launch!: An Illustrated History of Cape Canaveral
Never Die Alone,4.3,Never Die Alone
The Occult,3.92,The Occult
The Pride of the Peacock,3.86,The Pride of the Peacock
Killer Show,4.36,Killer Show
Tilt,4.58,Tilt
The Haunted Cabin Mystery,3.83,The Haunted Cabin Mystery
Feast Day of Fools,3.96,Feast Day of Fools
Tattered on My Sleeve,4.35,Tattered on My Sleeve
Heavenly,3.74,Heavenly
Fear and Loathing in Las Vegas,4.08,Fear and Loathing in Las Vegas
For the Love of Anna,3.91,For the Love of Anna
Storm of Steel,4.14,Storm of Steel
MirrorMask,3.87,MirrorMask
Blue Smoke,4.0,Blue Smoke
A Good Man is Hard to Find and Other Stories,4.21,A Good Man is Hard to Find and Other Stories
The Bhagavad Gita: A Walkthrough for Westerners,4.37,The Bhagavad Gita: A Walkthrough for Westerners
Eye of the Oracle,4.11,Eye of the Oracle
The Awakening,3.65,The Awakening
The Nibelungenlied,3.87,The Nibelungenlied
An Elegant Façade,4.09,An Elegant Façade
Code of the Clans,4.2,Code of the Clans
Torn,3.91,Torn
From Harlem With Love,4.33,From Harlem With Love
Firehouse,4.0,Firehouse
True Blood Collection,4.44,True Blood Collection
Six Days of the Condor,4.09,Six Days of the Condor
Mistaken Kiss,3.86,Mistaken Kiss
Darklove,4.2,Darklove
Prem Raas: Gujarati Edition,4.67,Prem Raas: Gujarati Edition
In the Clearing,4.27,In the Clearing
The Nightlife: New York,3.49,The Nightlife: New York
Extreme Measures,4.3,Extreme Measures
Matchpoints,4.61,Matchpoints
The Return to Zion,4.39,The Return to Zion
Disney's - Cinderella (Disney Classics),3.82,Disney's - Cinderella (Disney Classics)
"Cornerstone (Endless Inheritance, #1)",4.33,"Cornerstone (Endless Inheritance, #1)"
Peter Pan: or The Boy Who Would Not Grow Up: A Fantasy in Five Acts,4.01,Peter Pan: or The Boy Who Would Not Grow Up: A Fantasy in Five Acts
Brutal Youth,3.71,Brutal Youth
Twisted Bitch,4.26,Twisted Bitch
Asking For Trouble,3.61,Asking For Trouble
Now I'll Tell You Everything,4.13,Now I'll Tell You Everything
The Sacred Art of Stealing,4.3,The Sacred Art of Stealing
Hunter Brown and the Secret of the Shadow,4.07,Hunter Brown and the Secret of the Shadow
Remember When,4.23,Remember When
Play It As It Lays,3.88,Play It As It Lays
The Book of Sorrows,4.06,The Book of Sorrows
A Murder Is Announced,3.99,A Murder Is Announced
The Cantos,3.93,The Cantos
Sword-Born,4.04,Sword-Born
This Kind of War: A Study in Unpreparedness,3.93,This Kind of War: A Study in Unpreparedness
Titanic: The Long Night,3.95,Titanic: The Long Night
A Miracle of Catfish,4.14,A Miracle of Catfish
In the Ocean of Night,3.66,In the Ocean of Night
Six Wakes,3.84,Six Wakes
Three-Martini Lunch,3.8,Three-Martini Lunch
A Sudden Crush,3.94,A Sudden Crush
Agent of Change,4.17,Agent of Change
Divergent Official Illustrated Movie Companion,4.34,Divergent Official Illustrated Movie Companion
I Heard God Laughing: Poems of Hope and Joy,4.5,I Heard God Laughing: Poems of Hope and Joy
One Night in Winter,3.94,One Night in Winter
Out of the Ashes,3.89,Out of the Ashes
Mafia Chic,3.66,Mafia Chic
Awareness: A de Mello Spirituality Conference in His Own Words,4.26,Awareness: A de Mello Spirituality Conference in His Own Words
Been So Long 2 (Body And Soul),4.46,Been So Long 2 (Body And Soul)
Pegasus in Space,4.13,Pegasus in Space
The Borrowers Afloat,4.05,The Borrowers Afloat
The Measly Middle Ages,3.99,The Measly Middle Ages
"Counterfeit Gods: The Empty Promises of Money, Sex, and Power, and the Only Hope That Matters",4.34,"Counterfeit Gods: The Empty Promises of Money, Sex, and Power, and the Only Hope That Matters"
The Forest,4.02,The Forest
Goddess,4.23,Goddess
Tasting Beer: An Insider's Guide to the World's Greatest Drink,4.25,Tasting Beer: An Insider's Guide to the World's Greatest Drink
The Man at the Door,4.02,The Man at the Door
Tangerine,3.61,Tangerine
The Planet Savers,3.74,The Planet Savers
What is Not Yours is Not Yours,3.64,What is Not Yours is Not Yours
The Forever of Ella and Micha,4.09,The Forever of Ella and Micha
Mona Lisa Awakening,3.79,Mona Lisa Awakening
The First Folio of Shakespeare: 1623,4.79,The First Folio of Shakespeare: 1623
The Golden Hustla,4.4,The Golden Hustla
The Dark Side of Nowhere,3.69,The Dark Side of Nowhere
A Table for Three,3.94,A Table for Three
Servant To The Wolf,4.46,Servant To The Wolf
If You Leave,4.12,If You Leave
Back-Up,4.04,Back-Up
Bigger than Hitler – Better than Christ,3.49,Bigger than Hitler – Better than Christ
Dawnspell,4.05,Dawnspell
The Advocate,4.03,The Advocate
Friends With Partial Benefits,3.37,Friends With Partial Benefits
Michael,3.68,Michael
Revealed,4.13,Revealed
Pomegranate Soup,3.58,Pomegranate Soup
Only Love,3.51,Only Love
"The Kabbalah of Jesus Christ, Part 1 The True Good Tidings",5.0,"The Kabbalah of Jesus Christ, Part 1 The True Good Tidings"
Stolen by an Alien,4.04,Stolen by an Alien
The Black Widow,4.32,The Black Widow
Theodore Rex,4.18,Theodore Rex
The China Garden,4.1,The China Garden
What the Robin Knows: How Birds Reveal the Secrets of the Natural World,4.08,What the Robin Knows: How Birds Reveal the Secrets of the Natural World
Then We Came to the End,3.46,Then We Came to the End
The Darkest Evening of the Year,3.74,The Darkest Evening of the Year
A Light in the Window,4.25,A Light in the Window
Johnny Got His Gun,4.18,Johnny Got His Gun
"Why We Want You To Be Rich: Two Men, One Message",3.91,"Why We Want You To Be Rich: Two Men, One Message"
Cara's Twelve,3.95,Cara's Twelve
Two Weeks with a SEAL,4.05,Two Weeks with a SEAL
The Storybook of Legends,4.07,The Storybook of Legends
The Simple Faith of Mister Rogers: Spiritual Insights from the World's Most Beloved Neighbor,4.15,The Simple Faith of Mister Rogers: Spiritual Insights from the World's Most Beloved Neighbor
In the Midst of Life,4.11,In the Midst of Life
The Fool's Progress,4.22,The Fool's Progress
Wyvern,4.16,Wyvern
The Book of Eve,3.88,The Book of Eve
The Roman Revolution,4.24,The Roman Revolution
The Princess and the Three Knights,4.3,The Princess and the Three Knights
S.O.L.A.D.™: Soldiers of Light Against Darkness™,4.6,S.O.L.A.D.™: Soldiers of Light Against Darkness™
Delta of Venus,3.62,Delta of Venus
Diamond Duo,3.43,Diamond Duo
Monster,3.76,Monster
Take,4.43,Take
Start Something That Matters,4.02,Start Something That Matters
Una Historia de Ayer,4.69,Una Historia de Ayer
Season of the Witch,3.72,Season of the Witch
Kicking Off: Why hooliganism and racism are killing football,3.33,Kicking Off: Why hooliganism and racism are killing football
My Lover's Lover,3.29,My Lover's Lover
Switchers,3.79,Switchers
The Covenant of the Flame,3.94,The Covenant of the Flame
Revenge (aka The Stars’ Tennis Balls),3.8,Revenge (aka The Stars’ Tennis Balls)
Just in Case,3.2,Just in Case
The Squirrel that Dreamt of Madness,4.06,The Squirrel that Dreamt of Madness
The Day of the Owl,3.84,The Day of the Owl
Inside the Shadow City,4.06,Inside the Shadow City
Liar's Poker,4.15,Liar's Poker
Taking Shots,3.92,Taking Shots
Caribbee,3.48,Caribbee
All Rights Reserved,3.69,All Rights Reserved
The Four Corners of the Sky,3.31,The Four Corners of the Sky
The House on the Borderland,3.64,The House on the Borderland
A Map of the World According to Illustrators and Storytellers,4.38,A Map of the World According to Illustrators and Storytellers
Smog City,4.38,Smog City
Party Games,3.43,Party Games
Forging Zero,4.1,Forging Zero
Ronald Reagan: How an Ordinary Man Became an Extraordinary Leader,4.13,Ronald Reagan: How an Ordinary Man Became an Extraordinary Leader
The Tower,4.06,The Tower
Tishomingo Blues,3.69,Tishomingo Blues
"Psyren, Vol. 1: Urban Legend",4.18,"Psyren, Vol. 1: Urban Legend"
Leverage,3.95,Leverage
Freak of Nature,3.59,Freak of Nature
The Fire Ascending,4.19,The Fire Ascending
Here's the Story: Surviving Marcia Brady and Finding My True Voice,3.49,Here's the Story: Surviving Marcia Brady and Finding My True Voice
Lana,3.91,Lana
Love... And Sleepless Nights,4.06,Love... And Sleepless Nights
"Bananas, Beaches and Bases: Making Feminist Sense of International Politics",4.13,"Bananas, Beaches and Bases: Making Feminist Sense of International Politics"
Pants on Fire,3.65,Pants on Fire
Black Wind,4.25,Black Wind
Don’t Tell Mummy: A True Story of the Ultimate Betrayal,4.04,Don’t Tell Mummy: A True Story of the Ultimate Betrayal
On the Shortness of Life,4.23,On the Shortness of Life
Valencia,3.76,Valencia
Heaven,4.03,Heaven
Wicked Werewolves,4.07,Wicked Werewolves
Yayati: A Classic Tale of Lust,4.08,Yayati: A Classic Tale of Lust
To Catch a Mermaid,3.92,To Catch a Mermaid
Scorched,3.78,Scorched
The Bruce Trilogy: The Steps to the Empty Throne / The Path of the Hero King / The Price of the King's Peace,4.3,The Bruce Trilogy: The Steps to the Empty Throne / The Path of the Hero King / The Price of the King's Peace
Tell Me It's Real,4.26,Tell Me It's Real
The Lives of a Cell: Notes of a Biology Watcher,4.15,The Lives of a Cell: Notes of a Biology Watcher
Redheart,3.74,Redheart
Rominus: The Initiation,4.09,Rominus: The Initiation
To the Finland Station,4.11,To the Finland Station
The Case for God,3.79,The Case for God
The Pirate Daughter's Promise,3.82,The Pirate Daughter's Promise
Segu,4.12,Segu
On the Banks of Plum Creek,4.2,On the Banks of Plum Creek
Legend Trilogy Boxed Set,4.59,Legend Trilogy Boxed Set
Unleash the POWER of Branding: The Smart Guide to Branding for Beginners,5.0,Unleash the POWER of Branding: The Smart Guide to Branding for Beginners
The Lady in Blue,3.17,The Lady in Blue
"Writer's Market Companion: The Essential Guide to Starting Your Project, Getting It Published, and Getting Paid",3.79,"Writer's Market Companion: The Essential Guide to Starting Your Project, Getting It Published, and Getting Paid"
"Three Kings, One Night",4.26,"Three Kings, One Night"
Mistress,3.61,Mistress
Trapped!,4.58,Trapped!
"Blood, Body and Mind",3.82,"Blood, Body and Mind"
Bluegrass State of Mind,4.01,Bluegrass State of Mind
Derby Days: Local Football Rivalries and Feuds,3.55,Derby Days: Local Football Rivalries and Feuds
Tersias the Oracle,3.2,Tersias the Oracle
The Kissing Hand,4.42,The Kissing Hand
Einstein: His Life and Universe,4.13,Einstein: His Life and Universe
Avenging Agent,3.84,Avenging Agent
"Go, Dog. Go!",4.1,"Go, Dog. Go!"
Cryptid Hunters,4.19,Cryptid Hunters
Buck Rogers in the 25th Century: The Complete Newspaper Dailies Volume 8,4.33,Buck Rogers in the 25th Century: The Complete Newspaper Dailies Volume 8
Perfect for You,3.81,Perfect for You
"Bleach, Volume 13",4.36,"Bleach, Volume 13"
Ravensoul,4.02,Ravensoul
"The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness",4.38,"The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness"
Flirting for Success: The Art of Building Rapport,3.6,Flirting for Success: The Art of Building Rapport
Shark Girl,3.86,Shark Girl
The Devil; What does he look like,3.75,The Devil; What does he look like
Falling Stars,3.91,Falling Stars
Give It Back,3.8,Give It Back
In the Courts of the Sun,3.31,In the Courts of the Sun
The Fire-Dwellers,3.9,The Fire-Dwellers
The Queen's Bastard,3.14,The Queen's Bastard
Wild Magic,4.29,Wild Magic
Push Girl,3.95,Push Girl
Low Red Moon,3.62,Low Red Moon
Turn Coat,4.42,Turn Coat
Escape from Shangri-La,3.81,Escape from Shangri-La
The Little Country,4.07,The Little Country
Swan Song,4.28,Swan Song
Reviving Ophelia: Saving the Selves of Adolescent Girls,3.87,Reviving Ophelia: Saving the Selves of Adolescent Girls
"Clarissa, or, the History of a Young Lady",3.37,"Clarissa, or, the History of a Young Lady"
Three French Hens,3.78,Three French Hens
The Confession,3.85,The Confession
The Life-Changing Magic of Not Giving a F*ck: How to Stop Spending Time You Don't Have with People You Don't Like Doing Things You Don't Want to Do,3.45,The Life-Changing Magic of Not Giving a F*ck: How to Stop Spending Time You Don't Have with People You Don't Like Doing Things You Don't Want to Do
Assumption,4.15,Assumption
El coleccionista de lágrimas,3.92,El coleccionista de lágrimas
Snow in Summer,3.5,Snow in Summer
Article Three,3.89,Article Three
East End Jubilee,4.04,East End Jubilee
Lovely Wicked,3.51,Lovely Wicked
Body of Evidence,4.02,Body of Evidence
Critique of Cynical Reason,4.28,Critique of Cynical Reason
"Road Work: Among Tyrants, Heroes, Rogues, and Beasts",3.74,"Road Work: Among Tyrants, Heroes, Rogues, and Beasts"
The Tibetan Book of Living and Dying,4.2,The Tibetan Book of Living and Dying
John Donne: Everyman's Poetry,4.0,John Donne: Everyman's Poetry
The House on Mango Street,3.65,The House on Mango Street
November of the Heart,4.05,November of the Heart
Shroud,4.88,Shroud
A Thousand Letters,3.86,A Thousand Letters
Republic's Chosen,3.89,Republic's Chosen
Passionate Housewives Desperate for God: Fresh Vision for the Hopeful Homemaker,4.01,Passionate Housewives Desperate for God: Fresh Vision for the Hopeful Homemaker
Zoya's Story: An Afghan Woman's Struggle for Freedom,3.95,Zoya's Story: An Afghan Woman's Struggle for Freedom
The Gay Science,4.26,The Gay Science
The Ruby Princess Runs Away,3.83,The Ruby Princess Runs Away
The Shrinking Man,3.8,The Shrinking Man
No Great Mischief,4.02,No Great Mischief
Dragon of Legend: Destiny: Fantasy Dragon Adventure,4.72,Dragon of Legend: Destiny: Fantasy Dragon Adventure
The Rest of the Robots,4.09,The Rest of the Robots
"Judevine: The Complete Poems, 1970-1990",4.15,"Judevine: The Complete Poems, 1970-1990"
Think Like a Champion: An Informal Education in Business and Life,3.8,Think Like a Champion: An Informal Education in Business and Life
The Whip,3.91,The Whip
Little Women,4.09,Little Women
The Cause,4.25,The Cause
The Reckoning,4.03,The Reckoning
The First Global Village: How Portugal Changed the World,3.95,The First Global Village: How Portugal Changed the World
Hudson House,3.64,Hudson House
Legacy of Silence,3.92,Legacy of Silence
Les Chants de Maldoror,4.18,Les Chants de Maldoror
The Vampire Hunter's Daughter,3.68,The Vampire Hunter's Daughter
The Sound of Stars,3.95,The Sound of Stars
"I, Claudius",4.23,"I, Claudius"
Spells & Sleeping Bags,4.05,Spells & Sleeping Bags
One Was Lost,3.75,One Was Lost
Mutant Message From Forever,3.73,Mutant Message From Forever
Birthright,4.03,Birthright
Into the Tiger's Jaw: America's First Black Marine Aviator: The Autobiography of Lt. Gen. Frank E. Petersen,4.05,Into the Tiger's Jaw: America's First Black Marine Aviator: The Autobiography of Lt. Gen. Frank E. Petersen
The Symposium,4.05,The Symposium
Supernatural,4.12,Supernatural
Attack of the Fiend,4.2,Attack of the Fiend
Carmilla,3.82,Carmilla
I Have Lived a Thousand Years,4.16,I Have Lived a Thousand Years
Dinner with a Perfect Stranger / Day with a Perfect Stranger Boxed Set,4.27,Dinner with a Perfect Stranger / Day with a Perfect Stranger Boxed Set
Rift,4.14,Rift
Soulmate,4.09,Soulmate
"Home Comfort: Stories and Scenes of Life on Total Loss Farm,",4.0,"Home Comfort: Stories and Scenes of Life on Total Loss Farm,"
Life and Death are Wearing Me Out,3.99,Life and Death are Wearing Me Out
Betrayal of Justice,4.32,Betrayal of Justice
The Tower on the Rift,3.93,The Tower on the Rift
Recall Abortion: Ending the Abortion Industry's Exploitation of Women,4.39,Recall Abortion: Ending the Abortion Industry's Exploitation of Women
The Practice of Poetry: Writing Exercises From Poets Who Teach,4.05,The Practice of Poetry: Writing Exercises From Poets Who Teach
The Dog in the Manger,3.67,The Dog in the Manger
Nefertiti,4.07,Nefertiti
The God Virus: How Religion Infects Our Lives and Culture,3.98,The God Virus: How Religion Infects Our Lives and Culture
Who We Are,4.45,Who We Are
My Loose Thread,3.48,My Loose Thread
Thirst No. 3: The Eternal Dawn,4.14,Thirst No. 3: The Eternal Dawn
Scooby-doo! and the Karate Caper,4.14,Scooby-doo! and the Karate Caper
Forget You,3.79,Forget You
How to Argue like Jesus: Learning Persuasion from History's Greatest Communicator,3.48,How to Argue like Jesus: Learning Persuasion from History's Greatest Communicator
Middle School: The Worst Years of My Life,4.04,Middle School: The Worst Years of My Life
Dog Training For Dummies,3.55,Dog Training For Dummies
Till Tomorrow,3.84,Till Tomorrow
A Portrait of the Artist as a Young Man,3.62,A Portrait of the Artist as a Young Man
Hourglass,3.79,Hourglass
Did You Ever Have a Family,3.8,Did You Ever Have a Family
At My Mother's Knee...: and other low joints,4.15,At My Mother's Knee...: and other low joints
Leave It to Psmith,4.32,Leave It to Psmith
Roc and a Hard Place,3.75,Roc and a Hard Place
Mirror Dance,4.33,Mirror Dance
Less Than Zero,3.56,Less Than Zero
The Many-Coloured Land,4.07,The Many-Coloured Land
Guardian Agent,3.73,Guardian Agent
The Battle of Evernight,3.73,The Battle of Evernight
The Kill Order,3.71,The Kill Order
Force of Gravity,3.97,Force of Gravity
Prisoner,3.98,Prisoner
To Fire Called,4.36,To Fire Called
Just a Boy: An Inspiring and Heartwarming True Story,3.94,Just a Boy: An Inspiring and Heartwarming True Story
The Trouble with Playing Cupid,3.92,The Trouble with Playing Cupid
True Evil,4.09,True Evil
Rudin,3.75,Rudin
DragonLight,4.25,DragonLight
Calling Out,3.19,Calling Out
The Andy Warhol Diaries,3.89,The Andy Warhol Diaries
Two-Way Street,3.79,Two-Way Street
H is for Hawk,3.73,H is for Hawk
The Pillow Book,4.02,The Pillow Book
Mirage,4.67,Mirage
The War With Mr. Wizzle,4.2,The War With Mr. Wizzle
Where Are Ayden's Easter Eggs?,4.14,Where Are Ayden's Easter Eggs?
The Mall,3.65,The Mall
All These Things Shall Give Thee Experience,4.56,All These Things Shall Give Thee Experience
Resistance,4.31,Resistance
Whisper Kiss,4.19,Whisper Kiss
Howard the Duck Omnibus,4.25,Howard the Duck Omnibus
Don't Try This at Home: A Year in the Life of Dave Navarro,3.5,Don't Try This at Home: A Year in the Life of Dave Navarro
Beyond the Horizon,4.35,Beyond the Horizon
The Alcoholic,3.77,The Alcoholic
A Sliver of Redemption,4.11,A Sliver of Redemption
One for Sorrow,4.12,One for Sorrow
Beg,3.93,Beg
Remember Today,4.18,Remember Today
The Mythical Man-Month: Essays on Software Engineering,4.04,The Mythical Man-Month: Essays on Software Engineering
Ahsoka,4.04,Ahsoka
The Widening Gyre,3.96,The Widening Gyre
Moth Smoke,3.84,Moth Smoke
Morality for Beautiful Girls,3.98,Morality for Beautiful Girls
My Favorite Mistake,3.99,My Favorite Mistake
The Hard Goodbye,4.15,The Hard Goodbye
There is No Light in Darkness,4.08,There is No Light in Darkness
The Chessmen of Mars,3.83,The Chessmen of Mars
Prey,3.76,Prey
A Gentleman Never Tells,3.72,A Gentleman Never Tells
The Food of the Gods and How It Came to Earth,3.44,The Food of the Gods and How It Came to Earth
Beyond Earth,3.93,Beyond Earth
Amber Brown Is Not a Crayon,3.84,Amber Brown Is Not a Crayon
The Frolic of the Beasts,3.52,The Frolic of the Beasts
The Source,4.29,The Source
Frenched,4.11,Frenched
Shade Me,3.73,Shade Me
Last Seen Wearing,3.75,Last Seen Wearing
Staying Fat for Sarah Byrnes,3.95,Staying Fat for Sarah Byrnes
The Cobbler's Kids,4.21,The Cobbler's Kids
The Untold Stories,4.4,The Untold Stories
The Language of Sisters,3.82,The Language of Sisters
Three Tales,3.68,Three Tales
Little Prisoners: A Tragic Story of Siblings Trapped in a World of Abuse and Suffering,4.25,Little Prisoners: A Tragic Story of Siblings Trapped in a World of Abuse and Suffering
Homecoming,3.72,Homecoming
Who Put That Hair in My Toothbrush?,3.86,Who Put That Hair in My Toothbrush?
The Pride of Jared MacKade,4.09,The Pride of Jared MacKade
The Wild One,3.92,The Wild One
The Devil's Apocrypha: There are two sides to every story.,3.58,The Devil's Apocrypha: There are two sides to every story.
Hanta Yo: An American Saga,4.32,Hanta Yo: An American Saga
Madly,3.77,Madly
A Maze of Death,3.79,A Maze of Death
Red Dirt Heart,4.21,Red Dirt Heart
Emily Windsnap and the Land of the Midnight Sun,4.28,Emily Windsnap and the Land of the Midnight Sun
The Fifth Mountain,3.62,The Fifth Mountain
Hide & Seek,4.0,Hide & Seek
Look Back in Anger,3.58,Look Back in Anger
Aleutian Sparrow,3.8,Aleutian Sparrow
The Scottish Prisoner,4.21,The Scottish Prisoner
Little Brother & Little Sister,3.43,Little Brother & Little Sister
Born of Betrayal,4.43,Born of Betrayal
"Ecology, Community and Lifestyle: Outline of an Ecosophy",3.95,"Ecology, Community and Lifestyle: Outline of an Ecosophy"
The Kin of Ata Are Waiting for You,4.15,The Kin of Ata Are Waiting for You
The Boat Girls: An uplifting wartime saga full of friendship and romance...,4.17,The Boat Girls: An uplifting wartime saga full of friendship and romance...
Callum & Harper,3.91,Callum & Harper
A Hive For The Honeybee,3.87,A Hive For The Honeybee
Wolf Island,4.21,Wolf Island
The Four Agreements Toltec Wisdom Collection: The Four Agreements/The Mastery of Love/The Voice of Knowledge,4.5,The Four Agreements Toltec Wisdom Collection: The Four Agreements/The Mastery of Love/The Voice of Knowledge
The Eden Express: A Memoir of Insanity,3.87,The Eden Express: A Memoir of Insanity
School's Out—Forever,4.15,School's Out—Forever
Vespers Rising,4.12,Vespers Rising
Conspiracy of Silence,4.33,Conspiracy of Silence
The Death of Hope,3.84,The Death of Hope
Code,4.25,Code
SLAM,4.39,SLAM
Political Suicide,3.79,Political Suicide
At Home: A Short History of Private Life,3.97,At Home: A Short History of Private Life
Eldest,3.99,Eldest
The Clerkenwell Tales,3.24,The Clerkenwell Tales
Villains by Necessity,4.19,Villains by Necessity
The Liminal People,3.85,The Liminal People
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,4.18,Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination
Swim to Me,3.39,Swim to Me
Midnight Games,4.14,Midnight Games
"My Father's Parrot (Back to the Land, #1)",5.0,"My Father's Parrot (Back to the Land, #1)"
Drama,4.21,Drama
The Quack's Daughter,3.92,The Quack's Daughter
I Sailed with Magellan,4.07,I Sailed with Magellan
The Marriage Bargain,3.81,The Marriage Bargain
Magnetized: Conversations with a Serial Killer,3.87,Magnetized: Conversations with a Serial Killer
Where Treasure Hides,4.22,Where Treasure Hides
A Wizard of Earthsea,3.99,A Wizard of Earthsea
The Spell,3.98,The Spell
A Mermaid's Ransom,3.98,A Mermaid's Ransom
The Gathering,4.02,The Gathering
Ten Thousand Skies Above You,4.08,Ten Thousand Skies Above You
Ibid,3.22,Ibid
The Soulforge,4.16,The Soulforge
Tiny Deaths,4.39,Tiny Deaths
The Jaws of the Vortex,4.17,The Jaws of the Vortex
Jonathan Strange & Mr Norrell,3.82,Jonathan Strange & Mr Norrell
The Widow's Broom,4.27,The Widow's Broom
Girlchild,3.53,Girlchild
"Wilderness: The Lost Writings, Vol. 1",3.96,"Wilderness: The Lost Writings, Vol. 1"
Voices from Chernobyl: The Oral History of a Nuclear Disaster,4.41,Voices from Chernobyl: The Oral History of a Nuclear Disaster
Something to Someone,4.48,Something to Someone
The Pleasures of the Damned,4.39,The Pleasures of the Damned
Cross Creek,4.06,Cross Creek
Witch's Bell 1,3.76,Witch's Bell 1
Children of the Lost,3.84,Children of the Lost
Kit Kat's Coaching Guide,5.0,Kit Kat's Coaching Guide
Revan,3.96,Revan
Maggie: A Girl of the Streets,3.34,Maggie: A Girl of the Streets
Scar,3.36,Scar
The Death Ship,4.18,The Death Ship
Closed for the Season,3.9,Closed for the Season
Stone,4.02,Stone
Plague Ship,4.06,Plague Ship
"Myrtle Mae and the Mirror in the Attic (The Mae Chronicles, #1)",4.54,"Myrtle Mae and the Mirror in the Attic (The Mae Chronicles, #1)"
The Basket of Flowers: A Tale for the Young,4.16,The Basket of Flowers: A Tale for the Young
Family Affairs,3.96,Family Affairs
Tintin in Tibet,4.22,Tintin in Tibet
"Tsubasa: RESERVoir CHRoNiCLE, Vol. 11",4.27,"Tsubasa: RESERVoir CHRoNiCLE, Vol. 11"
The Assassination of Jesse James by the Coward Robert Ford,3.91,The Assassination of Jesse James by the Coward Robert Ford
Carnivorous Nights: On the Trail of the Tasmanian Tiger,3.87,Carnivorous Nights: On the Trail of the Tasmanian Tiger
Guilty Pleasures,4.02,Guilty Pleasures
Firesong,4.03,Firesong
Hank Brodt Holocaust Memoirs - A Candle and a Promise,4.53,Hank Brodt Holocaust Memoirs - A Candle and a Promise
Gratitude: A Way of Life,4.03,Gratitude: A Way of Life
Darkly Dreaming Dexter,3.89,Darkly Dreaming Dexter
Cry of the Raven,4.39,Cry of the Raven
The Gita For Children (IN),4.5,The Gita For Children (IN)
Therapy from the Quran and Hadith,4.48,Therapy from the Quran and Hadith
"Blind Willow, Sleeping Woman",3.84,"Blind Willow, Sleeping Woman"
"The Philosopher and the Wolf: Lessons from the Wild on Love, Death, and Happiness",4.15,"The Philosopher and the Wolf: Lessons from the Wild on Love, Death, and Happiness"
The List,3.96,The List
Donald and His Friends,3.44,Donald and His Friends
Bound by the Vampire Queen,4.38,Bound by the Vampire Queen
The Hand That Holds Mine,3.75,The Hand That Holds Mine
Torture to Her Soul,4.19,Torture to Her Soul
A Necklace of Water,4.0,A Necklace of Water
The Wronged Sons,4.08,The Wronged Sons
When the Body Says No: The Cost of Hidden Stress,4.31,When the Body Says No: The Cost of Hidden Stress
Stephen,4.5,Stephen
Notes from Underground,4.15,Notes from Underground
Love That Dog,4.03,Love That Dog
